"Date","EUA_diff","NZU_diff","CCA_diff","HBEA_diff"
2015-10-19,6.10250927408091,5.85396405665302,6.49519698729144,2.17579557282788
2015-10-26,4.75444154972387,9.67612670826784,4.87721697960189,11.7415102477818
2015-11-02,6.4262590320381,12.8366502680642,4.96875611647406,23.7982353663629
2015-11-09,6.13263748491072,12.7676769921616,2.91763851447765,35.9407243465054
2015-11-16,7.46878277709861,9.04252163176953,5.14467074816128,1.33104042995189
2015-11-23,4.7832858726895,7.67185235953314,1.17715266134199,7.75018357611188
2015-11-30,5.38860779212492,8.0562442214252,3.36339938515978,13.6336495785732
2015-12-07,10.3585483941197,4.09269984045879,0,8.53333840012249
2015-12-14,5.91226982215259,11.0426995972877,13.7512319256142,3.95692246307051
2015-12-21,5.1160733364997,10.6922841030247,2.03105637809315,4.19880276957491
