Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
11/9/2014,1.2925,7.9269,,,7.9224,
12/9/2014,1.2964,7.9588,,,7.9526,
15/9/2014,1.294,7.9817,,,7.9471,
16/9/2014,1.2959,7.9767,,,7.9645,
17/9/2014,1.2865,7.9503,,,7.8972,
18/9/2014,1.2922,7.9397,,,7.9341,
19/9/2014,1.2828,7.8823,,,7.8768,
22/9/2014,1.2849,7.9052,,,7.8893,
23/9/2014,1.2845,7.8907,,,7.8827,
24/9/2014,1.2779,7.8449,,,7.8394,
25/9/2014,1.2749,7.8364,,,7.8221,
26/9/2014,1.2683,7.7931,,,7.7704,
29/9/2014,1.2684,7.8395,,,7.8,
30/9/2014,1.2631,7.8041,,,7.7529,
01/10/2014,1.2623,7.7876,,,7.748,
02/10/2014,1.2668,7.803,,,7.7756,
03/10/2014,1.2516,7.77,,,7.6829,
06/10/2014,1.2652,7.7855,,,7.7664,
07/10/2014,1.2668,7.7896,,,7.7763,
08/10/2014,1.2733,7.8224,,,7.8162,
09/10/2014,1.269,7.7902,,,7.7788,
10/10/2014,1.2627,7.7546,,,7.7274,
13/10/2014,1.2752,7.8242,,,7.7862,
14/10/2014,1.2658,7.7718,,,7.7455,
15/10/2014,1.2836,7.8807,,,7.7855,
16/10/2014,1.2807,7.8686,,,7.8324,
17/10/2014,1.2761,7.8346,,,7.8035,
20/10/2014,1.2798,7.8483,,,7.8291,
21/10/2014,1.2714,7.7898,,,7.7808,
22/10/2014,1.2648,7.7447,,,7.7305,
23/10/2014,1.2644,7.7452,,,7.7293,
24/10/2014,1.267,7.7577,,,7.7403,
27/10/2014,1.2697,7.7699,,,7.7646,
28/10/2014,1.2734,7.7845,,,7.7676,
29/10/2014,1.2631,7.7254,,,7.7783,
30/10/2014,1.2612,7.7139,,,7.6838,
31/10/2014,1.2524,7.6724,,,7.6839,
03/11/2014,1.2482,7.6495,,,7.6428,
04/11/2014,1.2544,7.6741,,,7.6485,
05/11/2014,1.2485,7.6415,,,7.6517,
06/11/2014,1.2373,7.5766,,,7.6432,
07/11/2014,1.2452,7.6428,,,7.5713,
10/11/2014,1.242,7.6051,,,7.6295,
11/11/2014,1.2474,7.645,,,7.5953,
12/11/2014,1.2438,7.6249,,,7.6322,
13/11/2014,1.2475,7.6457,,,7.6269,
14/11/2014,1.2521,7.651,,,7.6431,
17/11/2014,1.2449,7.6251,,,7.6431,
18/11/2014,1.2536,7.6677,,,7.6456,
19/11/2014,1.2553,7.6875,,,7.6721,
20/11/2014,1.2538,7.6789,,,7.6791,
21/11/2014,1.2388,7.5981,,,7.6594,
24/11/2014,1.2442,7.6623,,,7.6594,
25/11/2014,1.2474,7.6663,,,7.6307,
26/11/2014,1.2505,7.6897,,,7.6608,
27/11/2014,1.2466,7.6618,,,7.669,
28/11/2014,1.245,7.6668,,,7.6413,
01/12/2014,1.2469,7.6772,,,7.6486,
02/12/2014,1.2381,7.6228,,,7.6514,
03/12/2014,1.231,7.565,,,7.5954,
04/12/2014,1.2377,7.6186,,,7.579,
05/12/2014,1.2285,7.5695,,,7.595,
08/12/2014,1.2316,7.6021,,,7.5653,
09/12/2014,1.2374,7.6545,,,7.6432,
10/12/2014,1.2447,7.6993,,,7.637,
11/12/2014,1.2409,7.6869,,,7.637,
12/12/2014,1.246,7.7174,,,7.6832,
15/12/2014,1.2436,7.7078,,,7.6995,
16/12/2014,1.251,7.7456,,,7.7144,
17/12/2014,1.2341,7.6534,,,7.712,
18/12/2014,1.2285,7.641,,,7.712,
19/12/2014,1.2226,7.6085,,,7.712,
22/12/2014,1.2229,7.6045,,,7.712,
23/12/2014,1.2171,7.5821,,,7.6122,
24/12/2014,1.2193,7.5955,,,7.5813,
25/12/2014,1.2221,7.583,,,7.5463,
26/12/2014,1.2175,7.563,,,7.5742,
29/12/2014,1.2151,7.5738,,,7.5795,
30/12/2014,1.2156,7.5549,,,7.552,
31/12/2014,1.2097,7.5262,,,7.5107,
01/1/2015,1.2102,7.5262,,,7.4925,
02/1/2015,1.2,7.4782,,,7.4737,
05/1/2015,1.1931,7.4305,,,7.4421,
06/1/2015,1.1888,7.3845,,,7.4048,
07/1/2015,1.1837,7.3577,,,7.3739,
08/1/2015,1.1792,7.3301,,,7.3441,
09/1/2015,1.1839,7.343,,,7.3296,
12/1/2015,1.1833,7.332,,,7.3396,
13/1/2015,1.1772,7.2933,,,7.3339,
14/1/2015,1.1789,7.3013,,,7.3111,
15/1/2015,1.1628,7.2215,,,7.2871,
16/1/2015,1.1567,7.205,,,7.2214,
19/1/2015,1.1604,7.2199,,,7.1961,
20/1/2015,1.1549,7.1847,,,7.1969,
21/1/2015,1.1608,7.2163,,,7.1829,
22/1/2015,1.1365,7.0702,,,7.2095,
23/1/2015,1.1207,7.0087,,,7.0632,
26/1/2015,1.1237,7.0268,,,7.0632,
27/1/2015,1.1381,7.1041,,,7.046,
28/1/2015,1.1286,7.0633,,,7.0853,
29/1/2015,1.1319,7.0866,,,7.0439,
30/1/2015,1.1286,7.0983,,,7.0879,
02/2/2015,1.134,7.1114,,,7.0882,
03/2/2015,1.1479,7.1895,,,7.0915,
04/2/2015,1.1344,7.1166,,,7.1537,
05/2/2015,1.1475,7.1635,,,7.0943,
06/2/2015,1.1313,7.144,,,7.0943,
09/2/2015,1.1323,7.0801,,,7.0919,
10/2/2015,1.1319,7.0809,,,7.0646,
11/2/2015,1.1331,7.0781,,,7.0619,
12/2/2015,1.1402,7.1152,,,7.0813,
13/2/2015,1.1383,7.119,,,7.1216,
16/2/2015,1.1352,7.1126,,,7.1339,
17/2/2015,1.141,7.1601,,,7.0842,
18/2/2015,1.1395,7.1239,,,7.0842,
19/2/2015,1.1366,7.1311,,,7.0842,
20/2/2015,1.1378,7.1408,,,7.0842,
23/2/2015,1.133,7.1086,,,7.0842,
24/2/2015,1.1339,7.1004,,,7.0842,
25/2/2015,1.1361,7.119,,,7.1112,
26/2/2015,1.1196,7.0286,,,7.1063,
27/2/2015,1.1193,7.0312,,,7.0196,
02/3/2015,1.1183,7.0351,,,7.0186,
03/3/2015,1.1174,7.0244,,,7.0224,
04/3/2015,1.1077,6.9646,,,7.0001,
05/3/2015,1.1028,6.9179,,,6.9214,
06/3/2015,1.0843,6.8174,,,6.8944,
09/3/2015,1.085,6.8067,,,6.8151,
10/3/2015,1.0697,6.7214,,,6.7445,
11/3/2015,1.0545,6.623,,,6.6664,
12/3/2015,1.0635,6.6703,,,6.6331,
13/3/2015,1.0493,6.5955,,,6.6352,
16/3/2015,1.0566,6.622,,,6.5922,
